transaction_id,transaction_datetime,date,year,month,day,dow,is_weekend,city,store_id,channel,size,variant,topping,payment_method,weather,temperature_c,quantity,list_price_idr,promo_code,discount_pct,unit_price_after_discount,delivery_fee_idr,gross_revenue_idr,rating
TX002944,2024-01-01 09:24:16,2024-01-01,2024,1,1,Monday,False,Jakarta,JKT-08,Takeaway,Regular,Special,None,OVO,Rain,30.5,1,26200.0,,0.0,26200.0,0,26200.0,
TX007461,2024-01-01 10:14:33,2024-01-01,2024,1,1,Monday,False,Bandung,BDG-05,Takeaway,Small,Original,None,QRIS,Cloudy,26.4,3,18000.0,PAYDAY20,0.2,14400.0,0,43200.0,4.0
TX001373,2024-01-01 11:51:55,2024-01-01,2024,1,1,Monday,False,Surabaya,SBY-01,Dine-in,Large,Special,None,Debit,Sunny,34.3,1,29900.0,PAYDAY20,0.2,23900.0,0,23900.0,
TX007690,2024-01-01 11:52:26,2024-01-01,2024,1,1,Monday,False,Medan,MDN-03,Takeaway,Regular,Original,ExtraJackfruit,Cash,Sunny,32.8,2,26400.0,,0.0,26400.0,0,52800.0,4.0
TX006196,2024-01-01 12:24:58,2024-01-01,2024,1,1,Monday,False,Jakarta,JKT-07,Dine-in,Small,LessSugar,ExtraJackfruit,Debit,Cloudy,28.7,1,22900.0,,0.0,22900.0,0,22900.0,3.9
TX003465,2024-01-01 12:55:19,2024-01-01,2024,1,1,Monday,False,Jakarta,JKT-02,Takeaway,Regular,LessSugar,ExtraAvocado,Cash,Rain,30.3,1,28100.0,RAINY15,0.15,23900.0,0,23900.0,
TX000977,2024-01-01 13:56:38,2024-01-01,2024,1,1,Monday,False,Denpasar,DPS-02,Dine-in,Large,Special,ExtraAvocado,Cash,Sunny,31.9,1,36300.0,,0.0,36300.0,0,36300.0,3.8
TX008352,2024-01-01 15:32:02,2024-01-01,2024,1,1,Monday,False,Bandung,BDG-04,Dine-in,Large,Original,None,Cash,Rain,26.1,4,26000.0,,0.0,26000.0,0,104000.0,
TX000611,2024-01-01 16:16:15,2024-01-01,2024,1,1,Monday,False,Jakarta,JKT-04,Takeaway,Regular,Original,None,ShopeePay,Cloudy,33.5,1,23100.0,PAYDAY20,0.2,18500.0,0,18500.0,4.3
TX006881,2024-01-01 16:36:23,2024-01-01,2024,1,1,Monday,False,Medan,MDN-01,Online-App,Regular,Original,None,QRIS,Rain,29.8,1,22400.0,,0.0,22400.0,8000,30400.0,
